                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0967,                 3.4106,                 1.3756,                 0.0033,                    0.9,                0.42704,                0.39551,                0.69415,                  3.368,                 1.1382,             0.00011669,             0.00011669,             0.00011669
                      2,                0.78261,                 2.3098,                 1.1464,                0.00374,                      1,                  0.995,                0.88731,                0.49625,                 2.8575,                0.86761,             0.00024955,             0.00024955,             0.00024955
                      3,                0.65901,                 1.5484,                 1.0653,                0.00377,                      1,                0.93667,                0.85864,                0.42769,                 2.8512,                0.86306,             0.00038189,             0.00038189,             0.00038189
                      4,                  0.686,                 1.2944,                 1.0362,                0.78401,                0.48079,                0.66411,                0.57923,                0.81037,                 2.8978,                 1.0186,              0.0005137,              0.0005137,              0.0005137
                      5,                0.70062,                 1.1946,                 1.0376,                0.87742,                    0.5,                0.97833,                0.84673,                0.49416,                 2.3302,                 0.8715,             0.00064498,             0.00064498,             0.00064498
                      6,                0.68984,                 1.1627,                 1.0441,                0.78086,                0.76214,                0.94643,                0.76445,                0.62484,                 2.1555,                0.93627,             0.00077573,             0.00077573,             0.00077573
                      7,                 0.7284,                 1.3081,                 1.0693,                0.89801,                0.39204,                0.84862,                0.60311,                0.90808,                 2.6647,                 1.0746,             0.00090596,             0.00090596,             0.00090596
                      8,                0.70574,                 1.2573,                 1.0467,                0.86568,                0.88744,                0.90278,                0.62532,                 1.1588,                 2.2208,                 1.5665,              0.0010357,              0.0010357,              0.0010357
                      9,                0.68661,                 1.2374,                 1.0516,                0.53073,                0.51587,                0.83602,                0.62301,                0.84589,                 2.6063,                 1.2729,              0.0011648,              0.0011648,              0.0011648
                     10,                0.73415,                 1.1514,                 1.0866,                0.77356,                0.97426,                0.88389,                0.65627,                0.84135,                 2.1528,                 1.2522,              0.0012935,              0.0012935,              0.0012935
                     11,                0.71916,                 1.0821,                 1.0638,                0.54085,                    0.8,                0.79439,                0.64895,                0.73354,                 2.4368,                 1.1405,              0.0014216,              0.0014216,              0.0014216
                     12,                 0.7245,                 1.1434,                 1.0465,                0.71579,                0.66119,                 0.8696,                0.71677,                0.73959,                 2.3518,                 1.1083,              0.0015492,              0.0015492,              0.0015492
                     13,                0.68096,                 1.0302,                 1.0577,                0.84845,                    0.5,                0.75693,                0.56585,                0.86643,                 3.1749,                 1.1551,              0.0016274,              0.0016274,              0.0016274
                     14,                0.69719,                 1.0332,                 1.0291,                0.80144,                0.59376,                0.75786,                0.49314,                0.98549,                 3.2035,                 1.3432,              0.0016274,              0.0016274,              0.0016274
                     15,                0.71545,                 1.0182,                 1.0701,                0.72474,                0.48849,                0.69189,                0.43613,                 1.3346,                 5.9545,                 1.7755,              0.0016241,              0.0016241,              0.0016241
                     16,                0.72446,                 1.0215,                 1.0754,                0.95769,                0.59623,                0.82063,                0.56323,                 1.1685,                 2.8952,                 1.4134,              0.0016208,              0.0016208,              0.0016208
                     17,                0.66514,                0.87929,                 1.0225,                0.95373,                0.58673,                0.87383,                0.63564,                 1.1749,                 3.6866,                 1.3104,              0.0016175,              0.0016175,              0.0016175
                     18,                0.68059,                0.91568,                 1.0592,                0.62103,                0.97676,                0.92132,                0.69512,                0.81511,                 2.0938,                 1.2217,              0.0016142,              0.0016142,              0.0016142
                     19,                0.65559,                0.87623,                 1.0394,                0.67634,                      1,                0.91346,                0.77922,                0.70234,                 1.8386,                 1.1135,              0.0016109,              0.0016109,              0.0016109
                     20,                 0.7005,                  0.836,                 1.0633,                0.93487,                0.86505,                0.91773,                0.81465,                0.56445,                 1.5576,                0.95843,              0.0016076,              0.0016076,              0.0016076
                     21,                0.68155,                0.87164,                 1.0668,                 0.6183,                      1,                0.85465,                0.63308,                 1.0146,                 4.3101,                 1.5904,              0.0016043,              0.0016043,              0.0016043
                     22,                 0.6482,                0.81854,                 1.0278,                0.89268,                0.52052,                0.81435,                0.60901,                 1.1224,                 2.8204,                 1.9213,               0.001601,               0.001601,               0.001601
                     23,                0.62572,                 0.7642,                 1.0008,                0.86219,                 0.9971,                  0.995,                0.75251,                0.77898,                 1.2491,                 1.2364,              0.0015977,              0.0015977,              0.0015977
                     24,                0.63709,                0.79894,                 1.0337,                0.89395,                      1,                  0.995,                0.76858,                0.80841,                 1.0403,                 1.3328,              0.0015944,              0.0015944,              0.0015944
                     25,                0.62553,                0.77594,                 1.0015,                0.96994,                    0.9,                0.97833,                  0.846,                0.56974,                0.93191,                0.98954,              0.0015911,              0.0015911,              0.0015911
                     26,                0.63057,                 0.7436,                 1.0218,                0.97685,                      1,                  0.995,                0.90335,                0.48978,                0.67735,                 0.9728,              0.0015878,              0.0015878,              0.0015878
                     27,                0.62273,                0.76382,                 1.0158,                0.96913,                      1,                  0.995,                0.88882,                0.49918,                 0.6908,                0.94831,              0.0015845,              0.0015845,              0.0015845
                     28,                 0.6414,                0.73318,                  1.035,                0.96814,                      1,                  0.995,                0.74971,                0.77544,                0.82192,                 1.1602,              0.0015812,              0.0015812,              0.0015812
                     29,                0.62993,                0.70248,                 1.0087,                0.98932,                      1,                  0.995,                0.84376,                0.67051,                0.88285,                 1.1056,              0.0015779,              0.0015779,              0.0015779
                     30,                0.66203,                0.69917,                0.99799,                0.98616,                      1,                  0.995,                0.84876,                0.63114,                0.74123,                 1.1133,              0.0015746,              0.0015746,              0.0015746
                     31,                 0.6342,                0.69539,                  1.012,                0.98908,                    0.9,                 0.8956,                  0.752,                0.89702,                0.91404,                 1.3483,              0.0015713,              0.0015713,              0.0015713
                     32,                 0.6326,                0.69172,                 1.0113,                0.89801,                0.98923,                0.97833,                0.80034,                 0.6723,                0.97954,                 1.0438,               0.001568,               0.001568,               0.001568
                     33,                0.67712,                0.71855,                 1.0396,                0.97372,                      1,                  0.995,                0.93327,                0.51471,                0.75627,                0.94999,              0.0015647,              0.0015647,              0.0015647
                     34,                0.59707,                0.66217,                0.99245,                0.97878,                      1,                  0.995,                0.90692,                0.48985,                0.75774,                0.95141,              0.0015614,              0.0015614,              0.0015614
                     35,                0.55746,                 0.6255,                0.96661,                0.98143,                      1,                  0.995,                0.88174,                0.57638,                0.64704,                  1.001,              0.0015581,              0.0015581,              0.0015581
                     36,                0.61027,                0.64571,                 1.0115,                0.97731,                0.99315,                  0.995,                0.86202,                0.58794,                0.62983,                 1.0994,              0.0015548,              0.0015548,              0.0015548
                     37,                0.58333,                0.66163,                0.99826,                0.98247,                0.97579,                  0.995,                0.83453,                0.63204,                0.72511,                 1.1783,              0.0015515,              0.0015515,              0.0015515
                     38,                0.59734,                0.64105,                 1.0005,                0.98337,                      1,                  0.995,                0.85276,                0.50653,                0.59604,                 1.0574,              0.0015482,              0.0015482,              0.0015482
                     39,                0.58879,                0.60503,                 1.0061,                0.96907,                      1,                  0.995,                0.88695,                0.58787,                 0.7734,                 1.0954,              0.0015449,              0.0015449,              0.0015449
                     40,                 0.5793,                0.60019,                0.97348,                0.97345,                      1,                  0.995,                0.87157,                0.56678,                0.66846,                  1.023,              0.0015416,              0.0015416,              0.0015416
                     41,                0.57327,                0.57767,                0.97966,                0.98374,                      1,                  0.995,                0.87331,                0.55222,                0.59093,                 1.0698,              0.0015383,              0.0015383,              0.0015383
                     42,                0.60024,                0.59587,                  1.007,                 0.8708,                      1,                0.98357,                0.83187,                0.58383,                0.68368,                 1.0802,               0.001535,               0.001535,               0.001535
                     43,                0.59551,                0.60949,                0.98909,                0.86739,                      1,                  0.995,                0.85265,                0.52605,                0.62821,                 1.0787,              0.0015317,              0.0015317,              0.0015317
                     44,                 0.5605,                0.55791,                 0.9609,                0.97345,                      1,                  0.995,                0.84132,                0.63779,                 0.5602,                 1.0913,              0.0015284,              0.0015284,              0.0015284
                     45,                0.53034,                0.55073,                0.95539,                0.97784,                      1,                  0.995,                0.87051,                0.52176,                0.50907,                0.96114,              0.0015251,              0.0015251,              0.0015251
                     46,                0.56156,                0.56041,                 0.9673,                0.97768,                      1,                  0.995,                0.87428,                0.53974,                0.52041,                0.95768,              0.0015218,              0.0015218,              0.0015218
                     47,                0.57364,                0.54075,                 0.9661,                0.98643,                      1,                  0.995,                0.87645,                0.49056,                0.57017,                0.94291,              0.0015185,              0.0015185,              0.0015185
                     48,                0.53928,                0.56272,                0.95686,                0.98772,                      1,                  0.995,                0.92861,                0.40095,                0.44558,                0.90676,              0.0015152,              0.0015152,              0.0015152
                     49,                0.57913,                0.54042,                0.96489,                0.98493,                      1,                  0.995,                0.88567,                0.42857,                0.47666,                0.90948,              0.0015119,              0.0015119,              0.0015119
                     50,                0.55016,                0.54333,                0.98322,                0.98808,                      1,                  0.995,                 0.8213,                0.58774,                 0.5049,                0.97878,              0.0015086,              0.0015086,              0.0015086
                     51,                0.54534,                0.50102,                0.99164,                  0.987,                      1,                  0.995,                0.86592,                0.47674,                0.50144,                0.92767,              0.0015053,              0.0015053,              0.0015053
