                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3382,                 4.4969,                 1.2632,                      0,                      0,                      0,                      0,                 1.0304,                  4.497,                 1.0724,               4.35e-05,               4.35e-05,               4.35e-05
                      2,                 1.1731,                  4.238,                 1.1139,                      0,                      0,                      0,                      0,                0.92551,                 4.3683,                0.95129,             9.1169e-05,             9.1169e-05,             9.1169e-05
                      3,                 1.0654,                 3.9084,                 1.0238,                 0.0429,                0.28766,                0.07525,                0.06293,                0.97825,                  4.095,                0.91309,             0.00013865,             0.00013865,             0.00013865
                      4,                0.94616,                 3.4817,                 0.9736,                0.03629,                0.51667,                0.11901,                 0.0961,                0.97999,                 3.7179,                0.90262,             0.00018594,             0.00018594,             0.00018594
                      5,                0.99894,                 3.1418,                0.99902,                0.08817,                0.75278,                0.26993,                0.19288,                0.96229,                 3.4527,                0.89264,             0.00023304,             0.00023304,             0.00023304
                      6,                0.98345,                   2.87,                 1.0089,                0.42323,                0.39632,                  0.336,                0.26172,                0.90728,                 3.1762,                 0.8937,             0.00027995,             0.00027995,             0.00027995
                      7,                 1.0031,                 2.7333,                 1.0368,                 0.7585,                0.20234,                0.38609,                0.30258,                 0.9338,                 2.9558,                0.91238,             0.00032667,             0.00032667,             0.00032667
                      8,                0.98932,                 2.5108,                  1.016,                0.83667,                0.20902,                0.42251,                0.33016,                0.89849,                 2.8882,                0.91315,              0.0003732,              0.0003732,              0.0003732
                      9,                0.96597,                 2.2703,                 1.0009,                0.82684,                0.28623,                0.47341,                0.37192,                0.90673,                  2.706,                0.91708,             0.00041955,             0.00041955,             0.00041955
                     10,                0.99196,                 2.1577,                 1.0084,                0.58162,                0.39771,                0.51422,                0.38775,                0.97909,                 2.4532,                0.94602,             0.00042725,             0.00042725,             0.00042725
                     11,                0.93001,                 1.9358,                0.99568,                0.58231,                0.46378,                0.53113,                0.39404,                0.94901,                 2.2991,                0.93995,             0.00042725,             0.00042725,             0.00042725
                     12,                0.96701,                 1.8905,                 1.0278,                0.58032,                0.54911,                0.56708,                0.44934,                0.88712,                 1.9322,                0.94548,             0.00042639,             0.00042639,             0.00042639
                     13,                0.94413,                 1.7965,                0.99579,                 0.6939,                0.60904,                0.71233,                0.56875,                   0.84,                 1.7259,                0.95647,             0.00042553,             0.00042553,             0.00042553
                     14,                0.95269,                 1.7596,                 1.0038,                0.63984,                0.71372,                0.79406,                0.59882,                 0.8588,                 1.5616,                0.96076,             0.00042466,             0.00042466,             0.00042466
                     15,                 0.9268,                 1.6582,                0.99097,                0.70133,                0.64393,                 0.7324,                0.56414,                0.83137,                 1.4125,                0.92308,              0.0004238,              0.0004238,              0.0004238
                     16,                 0.9033,                  1.612,                0.96653,                0.55468,                0.75028,                0.77315,                 0.5795,                0.83527,                 1.3695,                0.92977,             0.00042294,             0.00042294,             0.00042294
                     17,                0.88974,                 1.5388,                0.98785,                0.66496,                0.76159,                0.79841,                0.62908,                0.77948,                 1.3026,                 0.9173,             0.00042208,             0.00042208,             0.00042208
                     18,                0.89068,                 1.4667,                 1.0085,                0.67248,                0.79346,                0.83028,                0.63112,                0.82039,                 1.2762,                  0.933,             0.00042122,             0.00042122,             0.00042122
                     19,                0.87578,                 1.4348,                0.98837,                0.80894,                0.79393,                0.83945,                0.62276,                0.83818,                 1.2053,                0.94618,             0.00042036,             0.00042036,             0.00042036
                     20,                0.89307,                 1.3784,                0.99193,                0.72939,                0.85245,                0.83656,                0.62676,                0.84586,                 1.2632,                0.94701,              0.0004195,              0.0004195,              0.0004195
                     21,                0.85977,                 1.3734,                0.99044,                0.80929,                0.80192,                0.83771,                 0.6295,                0.86988,                 1.2643,                0.95668,             0.00041864,             0.00041864,             0.00041864
                     22,                0.87443,                 1.2907,                 0.9711,                0.89411,                0.78343,                0.84322,                0.63554,                0.86345,                  1.185,                0.95751,             0.00041777,             0.00041777,             0.00041777
                     23,                 0.8855,                  1.265,                0.96933,                 0.8909,                 0.8113,                0.85964,                 0.6563,                0.83184,                 1.1186,                0.94127,             0.00041691,             0.00041691,             0.00041691
                     24,                0.83579,                 1.2625,                0.97264,                0.81835,                0.81372,                0.85046,                0.64251,                0.83468,                 1.1491,                0.93948,             0.00041605,             0.00041605,             0.00041605
                     25,                0.85459,                 1.2326,                0.97842,                 0.8106,                0.81428,                0.87117,                0.65734,                0.83088,                 1.1274,                0.93797,             0.00041519,             0.00041519,             0.00041519
                     26,                0.83652,                  1.209,                0.97311,                0.75333,                0.88066,                0.87095,                 0.6619,                0.83763,                 1.1521,                0.93433,             0.00041433,             0.00041433,             0.00041433
                     27,                 0.8194,                 1.1609,                 0.9494,                0.93099,                 0.7893,                0.88536,                0.67238,                 0.8474,                 1.0799,                0.95893,             0.00041347,             0.00041347,             0.00041347
                     28,                0.80436,                 1.1048,                0.96142,                0.92582,                0.83371,                0.89583,                0.67056,                0.86107,                  1.008,                0.94952,             0.00041261,             0.00041261,             0.00041261
                     29,                0.79101,                 1.1085,                0.93479,                0.92376,                0.82681,                 0.8965,                0.68774,                0.84577,                 1.0113,                0.94676,             0.00041174,             0.00041174,             0.00041174
                     30,                 0.8266,                 1.1195,                0.96079,                0.86276,                0.82968,                0.89622,                 0.6875,                0.80732,                0.98755,                0.93452,             0.00041088,             0.00041088,             0.00041088
                     31,                0.78733,                 1.0666,                0.95613,                0.87653,                 0.8607,                0.89738,                0.68037,                0.82744,                 1.0272,                0.93845,             0.00041002,             0.00041002,             0.00041002
                     32,                0.80265,                 1.0476,                0.94906,                0.94078,                0.82662,                0.89631,                0.67803,                0.85418,                 1.0455,                0.94235,             0.00040916,             0.00040916,             0.00040916
                     33,                0.82029,                 1.0314,                0.96974,                0.92606,                0.84552,                 0.8973,                0.68164,                0.87569,                 1.0224,                0.95887,              0.0004083,              0.0004083,              0.0004083
                     34,                0.81716,                 1.0905,                0.96998,                0.96739,                  0.781,                0.89995,                0.68419,                0.84372,                 1.0388,                 0.9439,             0.00040744,             0.00040744,             0.00040744
                     35,                0.79873,                 1.0662,                0.94775,                0.88401,                0.84855,                0.89097,                0.68896,                0.80227,                0.97023,                0.93592,             0.00040658,             0.00040658,             0.00040658
                     36,                0.76465,                 1.0151,                0.93677,                  0.866,                0.85192,                0.89305,                0.68802,                0.77942,                0.96818,                0.92634,             0.00040572,             0.00040572,             0.00040572
                     37,                0.76569,                  1.027,                0.94209,                0.86075,                0.85856,                0.89339,                0.66166,                 0.7994,                0.97586,                0.94082,             0.00040485,             0.00040485,             0.00040485
                     38,                0.78094,                 1.0035,                0.94345,                0.88881,                0.80386,                0.88674,                0.65198,                0.85565,                0.96386,                0.96419,             0.00040399,             0.00040399,             0.00040399
                     39,                 0.7558,                  0.947,                0.92697,                0.85428,                0.83274,                0.90014,                0.67062,                0.82392,                0.97308,                 0.9486,             0.00040313,             0.00040313,             0.00040313
                     40,                0.77859,                 0.9836,                 0.9434,                0.77686,                0.85174,                0.89222,                0.67324,                 0.7968,                0.95916,                0.93466,             0.00040227,             0.00040227,             0.00040227
                     41,                0.75172,                0.98455,                0.93285,                0.92596,                0.72645,                0.88358,                0.66275,                0.81943,                0.93169,                0.93023,             0.00040141,             0.00040141,             0.00040141
                     42,                0.76912,                0.97512,                0.94214,                0.89943,                0.79019,                0.90574,                0.68154,                0.86592,                0.93343,                0.93261,             0.00040055,             0.00040055,             0.00040055
                     43,                0.75065,                0.92791,                 0.9331,                0.89954,                 0.7606,                0.90728,                0.70224,                 0.7992,                 0.8877,                 0.9178,             0.00039969,             0.00039969,             0.00039969
                     44,                0.76687,                0.94669,                0.93764,                 0.9048,                 0.7622,                0.89632,                0.68006,                0.82935,                0.89501,                0.92556,             0.00039883,             0.00039883,             0.00039883
                     45,                0.72867,                0.86584,                0.90755,                0.80115,                0.86088,                0.89715,                0.66218,                0.85771,                0.89605,                0.93141,             0.00039796,             0.00039796,             0.00039796
                     46,                 0.7544,                0.89008,                0.93247,                0.85317,                0.86236,                0.90612,                0.68949,                0.82221,                0.87581,                0.93535,              0.0003971,              0.0003971,              0.0003971
                     47,                0.76708,                0.89824,                0.93768,                0.90269,                0.81402,                0.90235,                0.68894,                0.81954,                0.87113,                0.93097,             0.00039624,             0.00039624,             0.00039624
                     48,                0.73687,                0.89658,                0.93511,                0.89778,                0.83361,                0.90167,                0.67899,                0.84008,                0.88047,                0.93294,             0.00039538,             0.00039538,             0.00039538
                     49,                0.75899,                0.93294,                0.95624,                0.86757,                0.83888,                0.90091,                0.67471,                0.84659,                0.90865,                0.93364,             0.00039452,             0.00039452,             0.00039452
                     50,                0.72205,                0.84295,                0.91486,                0.87863,                0.83525,                 0.8899,                0.67666,                0.81914,                0.97796,                0.91856,             0.00039366,             0.00039366,             0.00039366
                     51,                0.74594,                0.90186,                0.95651,                0.91354,                0.79473,                0.88751,                0.66069,                0.84233,                0.91954,                0.93672,              0.0003928,              0.0003928,              0.0003928
                     52,                0.74443,                 0.8736,                0.92943,                0.91223,                0.84334,                0.89791,                0.67874,                0.81226,                0.88809,                 0.9247,             0.00039193,             0.00039193,             0.00039193
                     53,                0.70081,                0.87065,                0.91004,                0.91372,                0.86289,                0.90344,                0.68784,                0.81079,                0.85559,                0.92477,             0.00039107,             0.00039107,             0.00039107
                     54,                0.68114,                0.84849,                0.91512,                 0.7948,                0.88126,                0.90128,                0.68833,                0.80766,                0.88685,                0.92634,             0.00039021,             0.00039021,             0.00039021
                     55,                0.72749,                0.83223,                0.91389,                 0.7884,                0.88066,                0.88596,                0.67725,                0.83813,                0.92236,                0.93474,             0.00038935,             0.00038935,             0.00038935
                     56,                0.76101,                0.98395,                0.95271,                0.84407,                0.86112,                 0.9028,                0.67196,                 0.8479,                0.90844,                0.92896,             0.00038849,             0.00038849,             0.00038849
                     57,                0.74638,                0.89519,                0.94162,                0.81444,                0.86941,                0.91249,                0.68712,                0.84001,                0.83528,                 0.9397,             0.00038763,             0.00038763,             0.00038763
                     58,                0.71727,                0.83445,                0.91888,                0.89739,                0.87043,                0.92606,                0.68692,                0.80375,                0.81942,                0.93515,             0.00038677,             0.00038677,             0.00038677
                     59,                0.69746,                0.82588,                0.90846,                0.87612,                0.87392,                0.92173,                 0.6989,                0.82511,                0.82127,                0.94597,             0.00038591,             0.00038591,             0.00038591
                     60,                 0.6878,                0.85221,                0.92762,                0.91939,                0.83071,                0.92217,                0.69587,                0.83027,                0.82835,                0.94067,             0.00038504,             0.00038504,             0.00038504
                     61,                0.69686,                0.81313,                0.90238,                0.90548,                0.82814,                0.91884,                0.70258,                0.77202,                0.82921,                0.90807,             0.00038418,             0.00038418,             0.00038418
                     62,                0.71754,                0.82393,                0.91219,                0.78898,                0.88849,                0.90788,                 0.6646,                 0.8226,                0.84109,                0.91884,             0.00038332,             0.00038332,             0.00038332
                     63,                0.71337,                0.79598,                0.91061,                0.86678,                0.86284,                0.90522,                0.65708,                0.83763,                0.86986,                0.92039,             0.00038246,             0.00038246,             0.00038246
                     64,                 0.7356,                0.83474,                0.94688,                0.80166,                0.88218,                0.89349,                0.66273,                0.80188,                0.84385,                0.91757,              0.0003816,              0.0003816,              0.0003816
                     65,                0.69701,                0.80937,                0.91225,                 0.9327,                0.83532,                0.90453,                0.65828,                0.81819,                0.82003,                0.91799,             0.00038074,             0.00038074,             0.00038074
                     66,                0.71314,                0.79058,                0.91271,                0.90595,                0.84461,                 0.9045,                0.65981,                0.81613,                0.83732,                0.92023,             0.00037988,             0.00037988,             0.00037988
                     67,                0.74069,                0.82009,                 0.9169,                 0.8855,                0.86586,                 0.9011,                0.66245,                0.83571,                0.85249,                0.93191,             0.00037902,             0.00037902,             0.00037902
                     68,                0.70679,                 0.7939,                0.92615,                 0.8584,                0.86906,                0.90817,                0.67331,                0.82027,                0.84053,                0.92376,             0.00037815,             0.00037815,             0.00037815
                     69,                 0.7227,                0.84378,                0.92256,                0.86396,                0.87643,                0.91081,                0.66671,                0.85021,                0.82283,                0.92607,             0.00037729,             0.00037729,             0.00037729
                     70,                0.71307,                0.82872,                0.91897,                0.94095,                0.77842,                0.90722,                0.66516,                 0.8684,                0.82492,                0.93761,             0.00037643,             0.00037643,             0.00037643
