                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2676,                 4.0504,                  1.227,                0.00669,                      1,                0.39998,                0.29794,                0.53569,                 3.4649,                0.82896,             0.00013336,             0.00013336,             0.00013336
                      2,                0.79802,                 2.4425,                0.91192,                0.48445,                      1,                 0.8123,                0.65934,                0.67144,                 2.6613,                0.78192,             0.00028283,             0.00028283,             0.00028283
                      3,                0.75437,                 1.4226,                0.89353,                0.00668,                      1,                0.94069,                0.78182,                0.58138,                 2.9815,                0.80339,              0.0004317,              0.0004317,              0.0004317
                      4,                0.70449,                 1.1768,                0.88574,                0.00688,                      1,                0.38983,                0.32367,                0.56338,                 3.1653,                0.83646,             0.00057998,             0.00057998,             0.00057998
                      5,                0.74121,                 1.1502,                 0.8888,                0.00676,                      1,                0.78523,                0.67681,                0.61591,                 2.8841,                0.85349,             0.00072767,             0.00072767,             0.00072767
                      6,                0.69934,                 0.9699,                0.88805,                0.00669,                      1,                0.60144,                0.51982,                0.57957,                 2.8708,                 0.8694,             0.00087476,             0.00087476,             0.00087476
                      7,                0.67504,                 0.9474,                0.87785,                      1,                 0.3005,                0.99337,                0.87035,                0.56533,                 2.4864,                0.86022,              0.0010213,              0.0010213,              0.0010213
                      8,                0.66352,                0.92008,                0.87777,                      1,                0.89268,                  0.995,                0.87877,                0.50175,                 1.8232,                0.84264,              0.0011672,              0.0011672,              0.0011672
                      9,                0.67698,                0.85984,                 0.8785,                0.99249,                0.83818,                  0.995,                0.91138,                0.48161,                 1.6565,                0.82479,              0.0013125,              0.0013125,              0.0013125
                     10,                0.67271,                0.88738,                0.87294,                0.98763,                      1,                  0.995,                0.87606,                 0.4932,                 1.4244,                0.82537,              0.0014572,              0.0014572,              0.0014572
                     11,                0.70503,                0.91336,                 0.9009,                0.98392,                0.99839,                  0.995,                0.87083,                0.56065,                 1.2509,                0.85287,              0.0016013,              0.0016013,              0.0016013
