                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5843,                 3.9334,                  1.526,                0.00094,                    0.1,                0.00062,                0.00021,                 1.5463,                 3.9966,                 1.8648,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                  1.378,                 3.8579,                 1.3919,                0.00436,                    0.4,                0.31677,                0.27963,                0.58903,                 3.4411,                0.89912,             9.9832e-05,             9.9832e-05,             9.9832e-05
                      3,                0.89938,                 3.0982,                 1.0515,                0.00879,                    0.7,                0.52618,                0.45382,                0.53464,                 3.1606,                0.81882,             0.00015657,             0.00015657,             0.00015657
                      4,                0.85758,                 2.2782,                 1.0114,                0.01177,                0.96667,                0.67016,                0.55608,                0.56769,                 2.8627,                0.81527,             0.00021308,             0.00021308,             0.00021308
                      5,                0.86864,                 1.7327,                 1.0317,                0.35305,                0.66667,                0.70433,                 0.6036,                0.52153,                  2.668,                0.80829,             0.00026936,             0.00026936,             0.00026936
                      6,                0.79948,                 1.4844,                0.94009,                0.99239,                0.63984,                0.82917,                0.72775,                0.52501,                 2.5531,                0.80383,             0.00032542,             0.00032542,             0.00032542
                      7,                0.76883,                  1.319,                 0.9434,                      1,                0.15268,                0.91335,                0.82405,                 0.4699,                 2.5185,                 0.7963,             0.00038125,             0.00038125,             0.00038125
                      8,                0.71174,                 1.2705,                0.94403,                 0.0109,                      1,                0.96731,                0.82314,                0.59816,                 2.7399,                0.88178,             0.00043685,             0.00043685,             0.00043685
                      9,                0.75679,                 1.2563,                0.93899,                0.00906,                    0.9,                0.84026,                0.65228,                0.83743,                 2.9442,                 1.0901,             0.00049223,             0.00049223,             0.00049223
                     10,                0.77479,                 1.2633,                0.96022,                0.01023,                      1,                0.98064,                 0.7596,                0.76547,                 2.7762,                0.94984,             0.00054738,             0.00054738,             0.00054738
                     11,                0.77178,                 1.2018,                0.96619,                      1,                0.13565,                0.97644,                0.82409,                0.59488,                 2.6214,                0.83913,              0.0006023,              0.0006023,              0.0006023
                     12,                0.72242,                 1.0365,                0.92365,                      1,                0.13559,                0.90713,                0.75313,                0.63107,                 2.6256,                0.86541,               0.000657,               0.000657,               0.000657
                     13,                0.70102,                 1.0217,                0.93451,                      1,                0.18741,                0.86161,                0.73256,                0.63999,                 2.6919,                0.90147,             0.00071147,             0.00071147,             0.00071147
