                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5301,                 4.0587,                 1.3817,                0.00255,                    0.2,                0.00468,                0.00261,                 1.4904,                 4.1681,                 1.4119,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 1.5185,                  4.072,                 1.3637,                0.00325,                   0.25,                0.00508,                0.00302,                 1.4174,                 4.1428,                 1.3441,             3.7426e-05,             3.7426e-05,             3.7426e-05
                      3,                 1.5691,                 4.0392,                 1.4072,                0.00342,                   0.25,                 0.0583,                0.03372,                 1.2144,                 3.9816,                 1.2403,             6.2253e-05,             6.2253e-05,             6.2253e-05
                      4,                 1.3677,                 3.9247,                 1.2363,                0.00442,                   0.25,                0.23446,                0.21349,                0.67163,                 3.7498,                0.97195,              8.698e-05,              8.698e-05,              8.698e-05
                      5,                 1.0163,                 3.5344,                 1.0837,                0.00693,                   0.35,                0.25083,                0.24122,                0.57784,                 3.6524,                0.89246,             0.00011161,             0.00011161,             0.00011161
                      6,                0.85308,                 3.1591,                0.97651,                0.01006,                    0.6,                0.27342,                0.23809,                0.57054,                 3.5197,                0.85554,             0.00013614,             0.00013614,             0.00013614
                      7,                0.93456,                 2.7639,                 1.0271,                      1,                0.20189,                0.34094,                0.31591,                0.61199,                 3.3744,                0.83489,             0.00016057,             0.00016057,             0.00016057
                      8,                0.89375,                 2.3473,                 1.0282,                      1,                0.21932,                0.58749,                 0.5241,                0.66508,                 3.2763,                0.84835,              0.0001849,              0.0001849,              0.0001849
                      9,                0.79281,                 1.7879,                0.96822,                0.01285,                   0.75,                 0.5851,                0.51371,                0.64198,                 3.2342,                0.84064,             0.00020913,             0.00020913,             0.00020913
                     10,                0.85771,                 1.6582,                 1.0081,                 0.0138,                   0.75,                0.59306,                0.52142,                 0.6018,                 3.1598,                0.83857,             0.00023327,             0.00023327,             0.00023327
                     11,                 0.8195,                 1.5552,                0.95555,                0.01508,                   0.75,                 0.5391,                 0.4584,                0.61262,                  3.053,                0.84407,              0.0002573,              0.0002573,              0.0002573
                     12,                0.86143,                 1.6362,                0.96966,                0.01685,                   0.85,                0.54101,                0.46278,                0.63149,                 2.9749,                0.84482,             0.00028124,             0.00028124,             0.00028124
                     13,                0.94213,                  1.626,                0.98286,                0.01891,                   0.85,                 0.6884,                0.58211,                0.66048,                 2.9181,                0.84939,             0.00030508,             0.00030508,             0.00030508
                     14,                0.80783,                 1.5224,                0.93685,                0.53726,                0.73271,                0.60468,                0.52686,                0.67812,                  2.871,                0.86804,             0.00032881,             0.00032881,             0.00032881
