                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4341,                 8.4947,                 2.2018,                      0,                      0,                      0,                      0,                 4.5939,                 13.854,                 3.2139,                  6e-05,                  6e-05,                  6e-05
                      2,                   3.27,                    7.8,                 2.2151,                      0,                      0,                      0,                      0,                 2.1883,                  8.261,                 1.7113,             0.00013972,             0.00013972,             0.00013972
                      3,                 1.4464,                 4.4961,                 1.1157,                0.00333,                      1,                0.00669,                0.00366,                  1.518,                 4.7146,                0.93082,             0.00021913,             0.00021913,             0.00021913
                      4,                 1.3093,                 2.7271,                0.90986,                0.00333,                      1,                 0.0061,                0.00363,                 1.1322,                 4.3908,                0.88049,             0.00029822,             0.00029822,             0.00029822
                      5,                 1.1892,                 1.9619,                0.92899,                0.00333,                      1,                0.00578,                0.00346,                 1.0037,                 4.3011,                0.87214,             0.00037699,             0.00037699,             0.00037699
                      6,                  1.172,                 2.2065,                0.95311,                0.00333,                      1,                0.00536,                0.00313,                 1.0718,                 4.3543,                0.90492,             0.00045545,             0.00045545,             0.00045545
                      7,                 1.1119,                 2.0268,                0.95249,                0.00333,                      1,                0.00521,                0.00334,                0.96787,                 4.1812,                0.86136,             0.00053358,             0.00053358,             0.00053358
                      8,                 1.2161,                 1.8402,                 1.0007,                0.00333,                      1,                0.00475,                0.00361,                 0.8394,                 4.4357,                0.83941,             0.00061141,             0.00061141,             0.00061141
                      9,                 1.2559,                 1.7112,                 1.0122,                0.00333,                      1,                0.00457,                0.00299,                 1.1516,                 4.4643,                0.88216,             0.00068891,             0.00068891,             0.00068891
                     10,                 1.1766,                 1.6663,                0.95028,                0.00333,                      1,                 0.0051,                0.00352,                  1.032,                 4.1803,                0.84534,              0.0007661,              0.0007661,              0.0007661
                     11,                 1.0818,                 1.4323,                0.92373,                0.00333,                      1,                0.00517,                0.00393,                0.87912,                 4.2909,                0.86784,             0.00084297,             0.00084297,             0.00084297
                     12,                 1.1948,                 1.8905,                0.99714,                0.00111,                0.33333,                0.00076,                0.00067,                0.74909,                 4.4432,                0.88211,             0.00091953,             0.00091953,             0.00091953
                     13,                  1.113,                 1.6528,                0.94004,                0.00333,                      1,                0.03257,                0.02297,                 1.0372,                 3.7323,                0.90664,             0.00099576,             0.00099576,             0.00099576
                     14,                  1.113,                 1.4921,                0.96712,                0.00333,                      1,                0.48113,                 0.3522,                 1.0511,                 3.6767,                0.90748,              0.0010717,              0.0010717,              0.0010717
                     15,                 1.1723,                 1.8195,                0.99886,                0.00333,                      1,                  0.995,                0.83188,                0.81752,                 3.4114,                0.90392,              0.0011473,              0.0011473,              0.0011473
                     16,                 1.2128,                 1.6809,                 1.0312,                0.00333,                      1,                  0.995,                0.81252,                0.97773,                 3.1645,                0.91824,              0.0012226,              0.0012226,              0.0012226
                     17,                  1.101,                 1.4927,                0.99013,                0.00333,                      1,                  0.995,                0.78848,                 0.8759,                 3.2241,                0.89344,              0.0012975,              0.0012975,              0.0012975
                     18,                 1.0229,                 1.8696,                 0.9382,                0.00333,                      1,                  0.995,                0.76448,                0.94574,                 3.0667,                0.91736,              0.0013722,              0.0013722,              0.0013722
                     19,                 1.1371,                 1.6723,                0.99545,                0.96053,                      1,                  0.995,                0.84554,                0.74962,                 2.7626,                0.88965,              0.0014465,              0.0014465,              0.0014465
                     20,                 1.0952,                  1.587,                 1.0145,                0.94727,                      1,                  0.995,                0.76958,                0.90822,                 2.6388,                0.89965,              0.0015206,              0.0015206,              0.0015206
                     21,                 1.1749,                 1.5714,                0.99604,                0.93353,                      1,                  0.995,                  0.796,                0.83117,                 2.2359,                0.90813,              0.0015943,              0.0015943,              0.0015943
                     22,                 1.1987,                  1.655,                 1.0091,                0.95645,                      1,                  0.995,                0.81252,                 0.7439,                 1.9487,                0.87201,              0.0016677,              0.0016677,              0.0016677
                     23,                 1.0864,                 1.2687,                0.93546,                0.96704,                      1,                  0.995,                0.80152,                 0.7852,                 1.7295,                0.88119,              0.0017407,              0.0017407,              0.0017407
                     24,                 1.0924,                 1.2244,                0.94352,                0.97533,                      1,                  0.995,                 0.7187,                0.90793,                 1.6817,                0.91558,              0.0018135,              0.0018135,              0.0018135
                     25,                 1.1335,                 1.2717,                0.96682,                0.97408,                      1,                  0.995,                0.78271,                0.78933,                  1.544,                0.91517,              0.0018859,              0.0018859,              0.0018859
                     26,                 1.1287,                 1.5412,                0.97032,                0.96805,                      1,                  0.995,                0.84587,                0.69514,                 1.4498,                0.87716,               0.001901,               0.001901,               0.001901
                     27,                 1.0954,                  1.352,                0.97156,                0.97188,                      1,                  0.995,                0.86893,                0.65329,                 1.3955,                0.87816,               0.001901,               0.001901,               0.001901
                     28,                 1.1123,                 1.0835,                 0.9677,                0.97704,                      1,                  0.995,                0.82079,                0.67411,                 1.2169,                0.87012,               0.001897,               0.001897,               0.001897
                     29,                 1.1422,                 1.1889,                 1.0104,                0.97812,                      1,                  0.995,                0.75189,                0.90569,                 1.2305,                0.93162,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.0664,                 1.1317,                0.97843,                0.98416,                      1,                  0.995,                0.71121,                 1.1606,                 1.1395,                 1.0347,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.0463,                 1.0308,                0.96761,                0.98854,                      1,                  0.995,                0.73511,                  1.155,                 1.0089,                0.96173,              0.0018852,              0.0018852,              0.0018852
                     32,                  1.101,                 1.1425,                0.96075,                0.98621,                      1,                  0.995,                0.82266,                0.83899,                 1.0178,                0.89734,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.0413,                 0.9839,                0.98066,                0.98855,                      1,                  0.995,                0.74364,                0.87515,                0.92481,                0.88868,              0.0018772,              0.0018772,              0.0018772
                     34,                 1.1519,                 1.0328,                0.98769,                0.99079,                      1,                  0.995,                0.82798,                0.79046,                0.82935,                0.90081,              0.0018733,              0.0018733,              0.0018733
                     35,                0.96166,                0.97988,                0.98527,                0.99088,                      1,                  0.995,                0.85139,                0.78668,                0.81795,                0.91672,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.0247,                 1.0058,                0.97642,                0.99076,                      1,                  0.995,                0.83163,                0.77084,                0.84458,                0.88575,              0.0018654,              0.0018654,              0.0018654
                     37,                  1.073,                0.98432,                0.95573,                0.99159,                      1,                  0.995,                0.79648,                 0.8259,                0.86476,                 0.9117,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.1499,                0.97215,                 1.0181,                0.99127,                      1,                  0.995,                 0.8072,                0.75272,                0.75743,                 0.9471,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.0696,                0.98893,                0.97477,                0.99167,                      1,                  0.995,                0.75207,                0.88378,                0.75907,                0.96099,              0.0018535,              0.0018535,              0.0018535
                     40,                0.97013,                0.95059,                0.94872,                0.99043,                      1,                  0.995,                  0.761,                0.93974,                0.78871,                0.90367,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.0826,                0.93493,                0.93573,                0.99049,                      1,                  0.995,                0.82574,                0.66171,                0.68663,                0.83549,              0.0018456,              0.0018456,              0.0018456
                     42,                0.97531,                0.91086,                0.94646,                0.99011,                      1,                  0.995,                0.77498,                0.75613,                0.71475,                0.86386,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.1155,                0.87382,                 0.9718,                0.98885,                      1,                  0.995,                0.76652,                0.78763,                0.74558,                0.87891,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.0536,                0.88735,                0.92397,                0.98468,                      1,                  0.995,                0.80803,                0.73496,                0.73793,                0.86546,              0.0018337,              0.0018337,              0.0018337
                     45,                0.93064,                0.79522,                0.97082,                0.99147,                      1,                  0.995,                0.73184,                0.94904,                0.65338,                0.88756,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.0189,                0.93857,                0.92391,                0.99053,                      1,                  0.995,                0.74091,                 0.9468,                0.66929,                 0.9634,              0.0018258,              0.0018258,              0.0018258
                     47,                0.91854,                0.75794,                0.95242,                0.99015,                      1,                  0.995,                0.82674,                0.78779,                0.60929,                0.89891,              0.0018218,              0.0018218,              0.0018218
                     48,                0.93814,                0.80367,                0.91902,                0.99035,                      1,                  0.995,                0.86255,                 0.7099,                0.62126,                0.86473,              0.0018178,              0.0018178,              0.0018178
                     49,                0.97075,                0.84763,                0.94209,                0.99089,                      1,                  0.995,                0.86836,                0.72507,                  0.612,                0.89373,              0.0018139,              0.0018139,              0.0018139
                     50,                0.93943,                 0.7844,                0.98114,                0.99074,                      1,                  0.995,                0.77585,                0.80238,                0.59651,                0.88296,              0.0018099,              0.0018099,              0.0018099
                     51,                0.91096,                0.76874,                 0.9221,                0.99147,                      1,                  0.995,                0.82388,                0.82557,                0.61787,                0.88043,               0.001806,               0.001806,               0.001806
                     52,                 1.0039,                0.81093,                0.93939,                0.99175,                      1,                  0.995,                0.82905,                 0.8256,                0.61309,                0.88677,               0.001802,               0.001802,               0.001802
                     53,                 0.9623,                0.74397,                0.91785,                0.99205,                      1,                  0.995,                0.77959,                0.78806,                0.76765,                0.86009,               0.001798,               0.001798,               0.001798
                     54,                0.95121,                0.81402,                0.90001,                0.99186,                      1,                  0.995,                0.74638,                0.84423,                0.70202,                0.86186,              0.0017941,              0.0017941,              0.0017941
                     55,                0.97733,                0.81996,                0.90054,                 0.9916,                      1,                  0.995,                0.76886,                0.84213,                0.60305,                0.86386,              0.0017901,              0.0017901,              0.0017901
                     56,                 0.9498,                0.76835,                0.88833,                0.99151,                      1,                  0.995,                0.76021,                0.93405,                0.64718,                0.87108,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.0182,                0.78678,                0.96544,                0.99137,                      1,                  0.995,                0.78559,                 0.9731,                0.62678,                0.88107,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.0133,                0.75375,                0.91187,                0.99146,                      1,                  0.995,                0.87568,                 0.7827,                0.58919,                0.85403,              0.0017782,              0.0017782,              0.0017782
                     59,                0.86386,                0.68944,                 0.8893,                0.99151,                      1,                  0.995,                0.82729,                 0.7089,                0.56712,                0.85316,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.0471,                0.69029,                0.94125,                0.99139,                      1,                  0.995,                0.80002,                0.82079,                0.59137,                 0.8651,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.0459,                0.68561,                0.91187,                0.99117,                      1,                  0.995,                0.81253,                0.91884,                0.52215,                0.89157,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.0241,                  0.712,                0.92698,                0.99117,                      1,                  0.995,                0.81253,                0.82796,                0.53279,                0.86703,              0.0017624,              0.0017624,              0.0017624
                     63,                0.98144,                0.67899,                0.93996,                0.99132,                      1,                  0.995,                0.85689,                0.66956,                0.45371,                0.84104,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.0129,                 0.6732,                0.95972,                0.99129,                      1,                  0.995,                0.84039,                0.74115,                0.47481,                  0.863,              0.0017545,              0.0017545,              0.0017545
                     65,                 0.9956,                0.66365,                0.94182,                0.99123,                      1,                  0.995,                0.79514,                0.89603,                0.57157,                0.85973,              0.0017505,              0.0017505,              0.0017505
                     66,                0.91646,                0.63061,                0.89846,                0.99151,                      1,                  0.995,                0.76651,                0.90289,                0.58163,                0.86039,              0.0017466,              0.0017466,              0.0017466
                     67,                 0.9293,                0.64684,                0.91769,                 0.9912,                      1,                  0.995,                0.87953,                 0.7799,                0.52121,                0.84379,              0.0017426,              0.0017426,              0.0017426
                     68,                0.97666,                 0.6292,                0.94412,                0.99127,                      1,                  0.995,                 0.8332,                0.76195,                0.52313,                0.84587,              0.0017386,              0.0017386,              0.0017386
                     69,                0.91803,                0.62843,                0.91952,                0.99125,                      1,                  0.995,                0.78004,                0.85009,                0.53674,                  0.863,              0.0017347,              0.0017347,              0.0017347
                     70,                0.94011,                  0.608,                0.87639,                0.99093,                      1,                  0.995,                 0.7772,                0.89361,                0.48209,                0.86373,              0.0017307,              0.0017307,              0.0017307
                     71,                0.99087,                0.64306,                0.92903,                0.99015,                      1,                  0.995,                0.74288,                0.85921,                0.44841,                0.85255,              0.0017268,              0.0017268,              0.0017268
                     72,                0.90518,                0.68673,                0.93584,                0.99018,                      1,                  0.995,                0.71931,                0.91705,                0.53569,                0.84922,              0.0017228,              0.0017228,              0.0017228
                     73,                 0.9538,                 0.6383,                0.91474,                0.99108,                      1,                  0.995,                0.71114,                0.90599,                0.51563,                 0.8531,              0.0017188,              0.0017188,              0.0017188
                     74,                0.91403,                 0.6202,                0.91989,                0.99115,                      1,                  0.995,                0.74208,                0.98417,                0.53562,                0.85131,              0.0017149,              0.0017149,              0.0017149
                     75,                 0.9704,                0.62326,                0.95194,                0.99103,                      1,                  0.995,                 0.7431,                0.90371,                0.54781,                0.86308,              0.0017109,              0.0017109,              0.0017109
                     76,                0.97631,                 0.6309,                0.90704,                0.99077,                      1,                  0.995,                0.80724,                0.69053,                 0.4833,                0.87878,               0.001707,               0.001707,               0.001707
                     77,                0.90874,                0.60698,                0.88322,                0.99095,                      1,                  0.995,                0.79663,                0.71311,                0.48398,                0.89082,               0.001703,               0.001703,               0.001703
                     78,                0.92332,                0.61438,                0.91017,                0.99059,                      1,                  0.995,                0.85693,                0.78291,                0.41105,                 0.8381,               0.001699,               0.001699,               0.001699
                     79,                0.91182,                 0.6518,                0.93127,                0.99083,                      1,                  0.995,                0.78558,                0.92849,                0.45674,                0.84755,              0.0016951,              0.0016951,              0.0016951
                     80,                0.90852,                0.58285,                0.86038,                0.99122,                      1,                  0.995,                0.84568,                 0.8908,                0.43982,                0.85757,              0.0016911,              0.0016911,              0.0016911
                     81,                0.85947,                0.58531,                0.90143,                0.99182,                      1,                  0.995,                0.83941,                0.80729,                0.43303,                0.85889,              0.0016872,              0.0016872,              0.0016872
                     82,                0.84593,                0.59043,                0.89016,                0.99178,                      1,                  0.995,                0.87695,                0.61939,                0.39513,                 0.8554,              0.0016832,              0.0016832,              0.0016832
                     83,                0.94033,                0.63303,                0.90269,                0.99141,                      1,                  0.995,                0.82178,                0.64336,                0.42797,                0.84435,              0.0016792,              0.0016792,              0.0016792
                     84,                 0.9326,                0.69723,                0.87788,                0.99151,                      1,                  0.995,                0.81335,                0.71661,                0.37687,                0.83259,              0.0016753,              0.0016753,              0.0016753
                     85,                0.96014,                0.62212,                0.93194,                0.99187,                      1,                  0.995,                0.80182,                0.80969,                0.39855,                0.84185,              0.0016713,              0.0016713,              0.0016713
                     86,                0.86974,                0.63469,                 0.8851,                0.99163,                      1,                  0.995,                0.83974,                0.74145,                0.41683,                0.83902,              0.0016674,              0.0016674,              0.0016674
                     87,                0.96801,                 0.6328,                0.89425,                0.99171,                      1,                  0.995,                0.87978,                0.68632,                0.42375,                0.84344,              0.0016634,              0.0016634,              0.0016634
                     88,                0.85831,                0.61659,                0.88816,                0.99173,                      1,                  0.995,                 0.8339,                0.62068,                0.42965,                0.84868,              0.0016594,              0.0016594,              0.0016594
                     89,                0.91697,                0.62978,                0.89244,                0.99187,                      1,                  0.995,                0.80461,                0.81685,                 0.4535,                0.86855,              0.0016555,              0.0016555,              0.0016555
                     90,                0.90675,                0.63796,                0.88388,                 0.9917,                      1,                  0.995,                0.83101,                0.83064,                0.41305,                0.85051,              0.0016515,              0.0016515,              0.0016515
                     91,                 0.9146,                0.54287,                0.93542,                0.99143,                      1,                  0.995,                0.83143,                0.73501,                0.41535,                 0.8412,              0.0016476,              0.0016476,              0.0016476
                     92,                0.83461,                0.54466,                0.87729,                0.99127,                      1,                  0.995,                0.80708,                0.75802,                0.40023,                0.85291,              0.0016436,              0.0016436,              0.0016436
                     93,                0.85155,                0.54921,                0.90002,                0.99163,                      1,                  0.995,                0.79532,                0.84488,                0.41782,                0.83717,              0.0016396,              0.0016396,              0.0016396
                     94,                0.89567,                0.57503,                0.89656,                0.99179,                      1,                  0.995,                0.79826,                0.81628,                0.37487,                0.82315,              0.0016357,              0.0016357,              0.0016357
                     95,                 0.9188,                0.58255,                0.88875,                0.99131,                      1,                  0.995,                0.80147,                0.79926,                0.37198,                0.82296,              0.0016317,              0.0016317,              0.0016317
                     96,                0.87188,                0.57998,                0.92073,                0.99131,                      1,                  0.995,                0.87507,                 0.6976,                0.37517,                0.82185,              0.0016278,              0.0016278,              0.0016278
                     97,                0.87631,                0.54162,                0.88206,                0.99167,                      1,                  0.995,                0.87448,                0.63197,                0.35194,                0.84164,              0.0016238,              0.0016238,              0.0016238
                     98,                0.88697,                0.56642,                0.88406,                0.99118,                      1,                  0.995,                0.83294,                0.74951,                0.38718,                0.86011,              0.0016198,              0.0016198,              0.0016198
                     99,                0.93865,                  0.556,                0.95735,                0.99129,                      1,                  0.995,                0.79968,                0.85155,                0.45715,                0.85888,              0.0016159,              0.0016159,              0.0016159
                    100,                0.92689,                0.55623,                0.89493,                0.99078,                      1,                  0.995,                0.79923,                0.82161,                0.42943,                0.85643,              0.0016119,              0.0016119,              0.0016119
                    101,                0.88799,                0.53888,                0.92212,                0.99097,                      1,                  0.995,                0.87374,                0.59266,                0.40904,                0.82607,               0.001608,               0.001608,               0.001608
                    102,                0.91822,                0.53946,                0.94014,                0.99109,                      1,                  0.995,                0.84844,                0.64072,                0.44149,                0.82332,               0.001604,               0.001604,               0.001604
                    103,                0.88161,                0.55062,                0.87756,                0.99154,                      1,                  0.995,                0.81272,                0.72184,                0.40695,                0.82492,                 0.0016,                 0.0016,                 0.0016
                    104,                0.94616,                 0.5802,                0.86134,                0.99129,                      1,                  0.995,                0.80972,                0.71694,                0.39589,                0.83336,              0.0015961,              0.0015961,              0.0015961
                    105,                0.95685,                0.59274,                0.93386,                0.99123,                      1,                  0.995,                0.81437,                0.70128,                 0.3992,                0.83325,              0.0015921,              0.0015921,              0.0015921
                    106,                0.91716,                0.56935,                0.91892,                0.99149,                      1,                  0.995,                0.86768,                0.61751,                 0.3938,                0.82818,              0.0015882,              0.0015882,              0.0015882
